"Name","method","EValPoint","EvalLB"
"M_bp_alpha_rel_mean_R_C","dr",1.48081804920493,1.4604205439085
"M_bp_alpha_rel_mean_N2_C","dr",1.49460372968623,1.47538560603213
"M_sp_amp_N2N3_C","dr",1.52433563175007,1
"M_bp_theta_rel_mean_N2_C","dr",1.45307096865024,1.43134613332458
"M_HB_apnea","dr",1.50037629337501,1
"M_macro_N1toW","dr",1.37354806027679,1.27505984033927
"M_macro_N1toN1","dr",1.41862834791657,1.33130413306143
"M_bp_alpha_rel_mean_N1_C","dr",1.36197832365036,1.32672691007323
"M_bp_delta_rel_mean_N1_C","dr",1.36006865161834,1.32855262294933
"M_macro_SFI","dr",1.33404581087942,1
"M_AHI3","dr",1.37605748333663,1
"M_bp_theta_rel_mean_N3_C","dr",1.42479788878698,1.40548210051545
"M_bp_alpha_rel_mean_N3_C","dr",1.41048604816135,1.39804316310858
